District Name,Dates Closed,School Meal Alternative,When & Where Meals Are Available,
Jacksonville ISD,March 16-20,,,https://www.jisd.org/
Jourdanton ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/17
When: Breakfast 8:00 AM – 9:00 Am Lunch 11:00 AM – 12:00 PM
Where: ECC Cafeteria Side Doors
Details: JISD will be providing curbside meals to any child 18 and under. An ID number is not required but each child will need to present in the vehicle to receive a meal. Pickup will be at the ECC Cafeteria side doors. We would like to have an estimate of participation so please fill out the form below. 

https://forms.gle/BhvATb8F98TN
",https://www.jourdantonisd.net/
Jubilee Academies,March 16-20,,,
Judson ISD,March 16-20,,,
Junction ISD,March 16-20,Pending ,More information to follow.,https://www.junctionisd.net
Katy ISD,March 16-April 13,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
When: 9:00 AM - 11:30 AM
Where: Bear Creek Elementary, Bethke Elementary, Golbow Elementary, Hutsell Elementary, Mayde Creek Elementary, Memorial Parkway Elementary, Sundown Elementary, West Memorial Elementary, Williams Elementary, & Tompkins High School                                
Details: School breakfast and lunches will be offered to all Katy area children ages 0-18, free of charge.  Children do not need to be an enrolled Katy ISD student in order to receive a meal. All meals will be provided in a ""grab and go"" style outside of the cafeteria near the covered walkway where buses pickup and drop off students. Families will not be able to enter the campus during the meal service. Should you have any questions, please do not hesitate to contact Food Services at (281) 396-2151. ",http://www.katyisd.org/Pages/default.aspx
Kaufman ISD,March 23 - April 3,"Meal Pickup
(Breakfast & Lunch)
Meal Delivery
(Lunch)","Start: 3/23
When: Meal Pickup (Breakfast: 8:00 AM - 9:00 PM; Lunch: 11:00 AM - 12:30 PM)
Meal Delivery 11:00 AM - 12:30 PM
Where: Kaufman High School
Details: Starting Monday, March 23, all KISD students, grades PK-12, will be able to participate on the breakfast and lunch program. We have two options, you can stop by your food to the High School cafeteria to take them home or a bus can deliver them to your home. His first choice would be to pass his food to KHS school. Breakfast will be Monday - Friday 8-9 a.m. and lunch will be 11 a. m-12:30 p.m. Your second option is bus delivery. Deliveries will be Monday - Friday between 10:30 a. m and 12:30 p.m. depending on where you live. Because we are currently missing packaging products, we will only deliver lunch by bus during the first week. Of course, you can still pick up your breakfast at KHS school during this first week. 
***Starting March 30, buses will deliver both breakfast and lunch. Initial bus deliveries will be to the homes of students who have been traveling on the bus in the mornings. If you have a student who has not been traveling by bus in the mornings, but would like to participate in breakfast and lunch delivery, please send a detailed email with your name, student name (s), and address to lunchrequest@kaufman-isd.net Once you have submitted your information, your student (s) will be added to the bus delivery list and deliveries will begin within 1 or 2 days of notification. It is important to know that for your child to participate in delivering breakfast and lunch by bus you must be physically present at the time of delivery. Breakfast or lunches will not be left in homes where no one is present. KISD thanks you for allowing us to serve you and your children during this difficult time. Please continue to keep in touch for updates on our website and Remind reminders to be aware of any additional information.***",https://www.kaufmanisd.net/district/district-news
Keller ISD,March 16- April 3,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
When: 10:30 AM - 1:00 PM
Where: Basswood Elementary School, Bluebonnet Elementary School, Caprock Elementary School, Eagle Ridge Elementary School, Friendship Elementary School, Heritage Elementary School, Keller-Harvel Elementary School, North Riverside Elementary School, Parkview Elementary School, Sunset Valley Elementary School, Whitley Road Elementary School                
Details: Meals will be served curbside at these 11 campus sites, and one breakfast and one lunch meal will be provided for each child in the vehicle. By law, Sodexo will not be able to provide more meals than there are children in each vehicle. Meals will be available from 10:30 a.m.-1 p.m. Monday through Friday.These healthy meals will include protein, grain, fruit, and vegetables. Milk will also be available as an option. Parents are requested to remain in their car as they drive through to pick up meals. Meals are available to any children in Keller ISD and not restricted to students on free/reduced lunch plans. 
Additionally, the Community Storehouse has offered its continued support of children and families in our community. The Storehouse will remain open during its normal office hours (9 a.m.-5 p.m. Monday-Thursday, 9 a.m.-1 p.m. Friday) and will offer both emergency food boxes (ID only) and monthly food support (with additional documents). More information, including volunteer opportunities, can be found on its website at CommunityStorehouse.org. 
",https://www.kellerisd.net/site/default.aspx?PageType=3&DomainID=88&ModuleInstanceID=370&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=70626&PageID=288&fbclid=IwAR3Lls5nhusnsJa4e-pdATykuhKqJ-ew2tYph3SDf9EbH_NHg0OEuLsCy98
Kennard ISD,March 16-20,,,
Kerens ISD,March 16-20,,,https://www.kerensisd.org/
Kilgore ISD,March 16-20,,,https://www.kisd.org/apps/news/article/1184836
Killeen ISD,March 16-20,,,
KIPP Texas ,March 23-27,,,https://kipptexas.org/kipp-texas-school-buildings-closed-march-23-27/
Klein ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch) & Backpack program ,"Start Date:  3/16 and 
When: 10:30 AM - 12:30 PM
Where:  Hildebrant Intermediate, Klein Annex, Strack Intermediate, Klein Intermediate, Wunderlich Intermediate, Wunderlick Intermediate 
Details:  Each child will receive a week's worth of pack and go breakfasts and prepackaged cold lunches.

 Houston Food Bank Backpack Buddies. Curbside pick up on Thursdays at the following: 
Cottage Garden Community Center
Community Center on Sugar Orchard Ln
9:00-9:30 AM

Sugarberry Community Center
Mulberry Park Ln
11:00-11:30 AM

Five Oaks
Entrance near mailboxes
9:00-9:30 AM

Five Oaks @ Nueces/Paloma
Intersection of Paloma @ Nueces
10:00-10:15 AM

Pinewood Place Community Center 
Intersection of Pinewood @ Dowdell
11:00-11:30 AM

Willowood, Willowbrook Crossing Community Center
Intersection of Silver Cloud @ Willow Wood Ln
9:00-9:30 AM

Inwood West Community Center
Maywood Forest Dr
11:00-11:30 AM

Northcliff Manor Community Center
W Marsham Circle
9:00-9:30 AM

Garden City
Intersection of Stallings @ Genemaury St
11:00-11:30 AM",https://kleinisd.net/cms/One.aspx?portalId=568125&pageId=1974168
Knippa ISD,March 18-30,,,https://www.knippaisd.net/ 
La Porte ISD,March 16-20,Curbside Meal Pickup (Breakfast and Lunch),"Start Date: 3/16
When: Breakfast 7:30 AM - 9:00 AM ; Lunch 11:00 AM - 12:30 PM
Where: James H. Baker Sixth Grade Campus (Enter the campus from Underwood.), College Park Elementary School (Enter the campus from Luella.), La Porte High School (Enter the senior parking lot from Fairmont.)                                                                                              
Details: The meals will be handed out drive-thru style to all children who are 18 years and younger. The children must be present in the vehicle to receive a meal.  ",https://www.lpisd.org/
La Vega ISD,March 16-27,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
When: Breakfast 6:30 AM – 8:30 AM ;  Lunch 11:00 AM – 1:00 PM
Where: Every District Campus
Details: Anyone under 18 may have a meal. (Cualquier persona menor de 18 años puede comer.)
Children must be in the car when picking up the meals. (Los niños están en el auto cuando recogen las comidas.)
",https://www.lavegaisd.org/apps/news/article/1185268
Lake Dallas ISD,March 24 - April 3,"Curbside Meal Pickup
(Breakfast & Lunch)","Start Date: 3/24
When: Breakfast 7:30 AM - 9:00 AM; Lunch 11:30 AM - 1:00 PM
Where: Lake Dallas Elementary School 
Details: Lake Dallas ISD will provide free meals for all students 18 and under Monday through Friday starting Tuesday, March 24, at Lake Dallas Elementary School. No paperwork or ID is required. Children must be present in the vehicle. Pickup location is at the cafeteria entrance at the back of the school. Food will be delivered to your vehicle.",https://www.ldisd.net/Page/7308
Lake Worth ISD,March 16 - April 3,"Curbside Meal Pickup
(Breakfast & Lunch)","Start Date: 3/16
When: 11:00 AM - 12:30 PM
Where Howry Intermediate School, Lake Worth High School, Collins Middle School
Details: Meals will be located at the front of each school during these times. To provide additional support to our families during this time Child Nutrition wil offer Grab and Go Lunch and Breakfast (for the following day) via curbside service, at select campuses. Students 18 and under must be present to receive meals. For more information, contact Child Nutrition Services at 817-306-4214",https://www.facebook.com/lwisd/photos/a.805483662806332/2930856560269021/?type=3&theater
Lamar CISD,March 16-20,Curbside and Walk-Up Meal Pickup (Breakfast & Lunch) ,"Start Date: 3/17
When: Breakfast 8:00 AM - 8:30 AM & 11:00 AM - 11: 45 AM
Where: Beasley Elementary, Foster High School, Fulshear High School, George Ranch High School, Lamar Consolidated High School, & Terry High School                                                    
                                                                                                                                               Details: These meals will be available for free for anyone 18 and under regardless of what school they attend. No paperwork is required. Children must be present for meals to be provided. Meals will be provided based on the number of children present.
This program will be solely for the pick-up of meals, and meals will not be consumed on-site. We encourage families to continue to be proactive in reducing the risk of COVID-19 by not congregating at the school site and utilizing social distancing once meals have been distributed. Individuals will not be permitted to enter any campus. All food will be distributed near the bus ramp at all locations. ",https://www.lcisd.org/about/lamar-cisd-covid-19-coronavirus-updates?fbclid=IwAR0iAaYppEZOwo8yIvIwdWKZNbWn_RwjBwLtGcRHMxO88cV4Jk9zwm3flqA
Lancaster ISD,March 16 - April 3,"Curbside Meal Pickup
(Breakfast & Lunch)","Start Date: 3/23
When: 10:30 AM - 1:00PM
Where: Lancaster High School
Details: Lancaster ISD will provide FREE drive-thru or curbside meals at Lancaster High School between 10:30 am and 1 pm on Monday, March 23. Families will be able to pick up enough FREE meals to cover the entire week for anyone 18 years old or under in their household.
Monday-Friday
Lunch 10:30 A.M.-1:00 P.M.
•     A breakfast and lunch per day for each student
•     No identification required 
•     Must be 18 and under to receive a meal 
•     Student must be present to receive a meal
•     We will provide car service. Do not get out of your car
 ",https://www.lancasterisd.org/Page/1187
La Pryor ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/17
When: Breakfast 7:30 AM – 8:45 AM ; Lunch 11:00 AM – 12:30 PM
Where: Unspecified
Details: The meals are for all children ages 1-18. The child does not have to be present in the car to receive a meal. 
",https://www.facebook.com/profile.php?id=100013659931969
Latexo ISD,March 16-20,,,
La Vernia ISD,March 16-April 3,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/17
When: Breakfast 7:30 AM – 8:00 AM ; Lunch 11:00 AM – 12:00 PM
Where: Intermediate School Bus Lane
Details: All current LVISD students are welcome to use this service, but the student(s) must be present at pickup and able to provide their student ID number in order to receive a meal. Each meal will come at no charge to our students regardless of meal eligibility status and your LVISD student does not need to attend school at our Intermediate campus to receive a breakfast or lunch. Please note that our cafeterias will not be open to the public during these times.
",https://www.lvisd.org/Page/3634
Leander ISD,March 16- April 3,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/24
When: Breakfast 7:30 AM – 9:00 AM ;  Lunch 12:00 PM – 1:30 PM
Where: Bagdad Elementary School, Reed Elementary School, River Place Elementary School, and Running Brushy Middle School
Details: We will provide free, drive-thru breakfast and lunch services for any student.
",https://news.leanderisd.org/leander-isd-to-suspend-normal-school-operations-for-2-weeks-through-april-5/?fbclid=IwAR26eLXvdRc2af7DzkFlwHCoidQhS3okWhgFSb9mB0OSUjz0faugwYBQDRE
Leonard ISD,March 16 - April 3,"Curbside Meal Pickup 
(Lunch)","Start Date: 3/16
When: 11:00 AM - 12:30 PM
Where: Elementary School 
Details: Leonard ISD Child Nutrition Department will be offering FREE Sack Lunch Meals FREE to all kids 18 yrs. and younger during school closure. Sack Lunch Meals will be provided from 11 AM to 12:30 PM at the Elementary school, 300 E Mulberry St Leonard, TX 75452 (Back of the building on Hackberry Street.) Where you pick up and drop off your children for school. If you have questions, please call 903-587-4011.",https://www.leonardisd.net/
Leveretts Chapel ISD,March 16-20,,,https://www.leverettschapelisd.net/
Lewisville ISD,March 23 - April 3,"Curbside Meal Pickup
(Breakfast & Lunch)","Start Date: 3/23
When: Breakfast 7:30 AM - 8:30 AM; Lunch 11:00 AM - 12:30 PM
Where: Mill Street Elementary, Southridge Elementary, Peters Colony Elementary, Lewisville High School, Vickery Elementary, DeLay Middle School, LISD STEM Academy at Polser, Huffines Middle School
Details: Free drive-up grab & go meals available for children age 18 and under beginning Monday, March 23, 2020. Breakfast and lunch must be picked up within specified time frames. Children must be present to receive meals. No identification required.Click on individual location names for specific information. For any questions, email LISD Child Nutrition Department at 469.713.5207 or email cn@lisd.net.",https://www.google.com/maps/d/u/0/viewer?ll=33.114803407080096%2C-97.03214127612307&z=12&mid=12kXyIkumC2AnfvbfkSJ5y__MHPfT_E8s
Liberty - Eylau ISD,March 16-20,,,https://s3.amazonaws.com/scschoolfiles/736/covid-19_letter.pdf
Liberty Hill ISD,March 16-20,,,
Liberty ISD,March 16-20,Curbside Meal Pickup (Lunch Only),"Start Date: 3/16
When: Lunch 10:00 AM – 1:00 PM
Where: Liberty Middle School 
Details: Meal pickup will be at the bus drop-off lane on the west side of the school.
",https://www.libertyhill.txed.net/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=60&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=4718&PageID=1
Lindale ISD,March 16-20,,,https://fbc7e898-3f1e-430c-aa81-678d417f5016.filesusr.com/ugd/8f47a8_d2b180cd4f8c40ad8aed64a260f88605.pdf
Linden - Kildare,March 16-20,Walk-In Meal Pickup (Breakfast and Lunch),"Start Date: 3/17
When: Breakfast 7:30 AM – 9:00 AM ; Lunch 11:00 AM – 1:00 PM
Where: Junior High Campus
Details: We will run a trial meal plan on Tuesday, March 17 to assess 
the need for student meals. Free meals will only be available for all 
current LKCISD students and will be available to be picked up at the JUNIOR HIGH 
campus.
",https://www.lkcisd.net/264247_2
Livingston ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
When: Breakfast 7:00 AM – 8:00 AM ; Lunch 11:00 AM – 1:00 PM
Where: Cedar Grove Elementary
Details: Meals will be offered through the Cedar Grove Elementary car rider line for all district students. 
",
Lockhart ISD,March 16-April 3,Curbside Meal Pickup (Breakfast & Lunch) & Bus Delivery for Rural Areas,"Start Date: 3/23
When: Breakfast 7:30 AM – 8:30 AM ; Lunch 11:00 AM – 1:00 PM
Where: Each school campus in the district
Details: Simply drive up to the pickup site and child nutrition staff will hand you meals through the car window. For those who do not drive and need to walk to pick up the meal, you will be allowed to walk and pick them up to go. For those living in more rural areas, if you are unable to pick up meals curbside at your child’s campus, our school buses will be driving routes to drop off food between 11 am - 1 pm during any school day we are closed. There will be additional information about specific bus routes and food drop off times in a separate email.
","http://lockhartisd.org/UserFiles/Servers/Server_89742/File/News/Message%20from%20the%20Superintendent%20_%20March%2016,%202020.pdf?fbclid=IwAR0y30oH7V86tHC0MYQoZHLhvaT-yAM80oYj89zLA06CO1QTvB3-OrDHUhs"
Longview ISD,March 16-27,Walk-In Meal Pickup (Breakfast & Lunch) & Meal Delivery Service,"Start Date: 3/16
When: Breakfast & Lunch 10:00 AM – 12:00 PM
Where: Longview High School, Forest Park Middle School, South Ward, Ware, Foster Middle School, Bramlette STEAM Academy, J.L. Everhart and Judson STEAM Academy.
Details: Any child that attends LISD and comes to these campuses will be given two meals. All students will need to present their ID number when they pick up meals and this will happen in the back of the campus (near the cafeteria) to receive their grab-and-go meal. The high school layout is different, they will simply go to the cafeteria. Child Nutrition has generously offered to deliver meals and they will do so Monday, Wednesday, and Friday from 10:30 a.m. to Noon. Families may request delivery by emailing ask@lisd.org with their student’s ID, delivery address, and home campus. The cutoff time for delivery requests is 9:30 p.m. the night before the delivery date.
",http://w3.lisd.org/
Lorena ISD,March 16-27,Curbside Meal Pickup (Breakfast & Lunch),"**Meals will be provided for free and reduced price eligible students only**
Start Date: 3/17
When: Breakfast & Lunch 9:00 AM – 11:30 AM
Where: Primary School campus (1191 Old Lorena Road)
Details : We will provide curbside meal service to Lorena ISD FREE and REDUCED eligible students. To help us get an estimate of how many meals we need to prepare, please fill out this form if you plan on taking advantage of this service. https://docs.google.com/forms/d/e/1FAIpQLSf_K1WuhWeXNO7tOWCal2NgSGai_q8a_hJqg-Y9_cq__vzFXQ/viewform
",https://docs.google.com/forms/d/e/1FAIpQLSf_K1WuhWeXNO7tOWCal2NgSGai_q8a_hJqg-Y9_cq__vzFXQ/viewform
Lovejoy ISD,March 16-20,,,
Lufkin ISD,March 16-20,Walk-In Meal Pickp (Breakfast & Lunch),"Start Date: 3/16
When: Breakfast 7:30 AM – 9:30 AM ; Lunch 11:30 AM – 1:30 AM 
Where: Lufkin High School, Brandon Elementary or Slack Elementary
Details: Meals will be served through pick-up only. Students age 18 and under must be present to receive the meals.
",https://www.lufkinisd.org/category/lufkin-isd/
Lytle ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/18
When: Breakfast & Lunch 11:00 AM – 1:00 PM
Where: Primary,  Elementary, Junior High or High Schools
Details: Both breakfast and lunch meals are provided once daily. For the safety of all, please stay in your vehicle and do not park or walk up to the meal distribution points.

",https://www.lytleisd.org/
Magnolia ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/17
When: 9:00 AM - 11:00 AM
Where: Magnolia Elementary School (west side) and Smith Elementary School (east side)
Instruction:
1. Cars will pull up to the back of the school and form a car rider line. This line will form at the back of the school where the buses normally drop off students. Please remain in your car and an employee will deliver the food to your car.
2. All children 18 or under will eat free and children need to be present in the car.
3. Each child will receive one breakfast and one lunch in a to-go bag or box.",https://www.magnoliaisd.org/apps/news/article/1184405?fbclid=IwAR3TPhH1OjBLqOwXxz2GzM3S5lepnWcrbpL-n4kFAwqjZFemLITo_L-6XmI
Malakof ISD,March 16-20,,,https://www.malakoffisd.org/
Malone ISD,March 16-20,,,https://www.maloneisd.org/34074?articleID=50400
Manor ISD,March 16-27,Curbside Meal Pickup (Lunch Only),"Start Date: 3/23
When: Lunch 11:00 AM – 12:30 PM
Where: Manor New Tech High School, Blake Manor Elementary and Decker Elementary
Details: Curbside lunch meals will be provided for each child in the vehicle. Families are advised to stay in their cars and not enter buildings during meal pick up. Meals will be provided Monday through Friday starting on March 23 and will be reevaluated if closures continue. Children must be present to receive a meal package. Meals are not available for adults. Signs will be posted at each location with directions to enter the parking lot.",https://www.facebook.com/manorisd/
Mansfield ISD,March 16- April 3,Curbside Meal Pickup (Lunch Only),"Start Date: 3/16
When: Lunch 11:00 AM – 12:00 PM
Where: Glenn Harmon Elementary School, D.P. Morris Elementary School, Annette Perry Elementary School, Mary Jo Sheppard Elementary School, Della Icenhower Intermediate School, Danny Jones Middle School
 Details: Free healthy,  and delicious meals will be available to all children ages 18 years and younger. No one will need to exit their personal vehicles, but all participating children must be in the vehicle. Children do not have to be a student at the campus to qualify for the meal, and families can visit any of the participating sites. Meals will consist of whole grains, lean protein, fruits, vegetables and lowfat milk. We will include a lot of the kids’ favorites (yogurt boxes, pizza packs, chicken tenders, etc.). Menu is online.
",https://resources.finalsite.net/images/v1584154338/mansfieldisd/usshuxy5mxizmg4eqfau/MISDCoronavirusClosureDetails-March13.pdf
Marlin ISD,March 16-20,Pending,,https://www.marlinisd.org/
Marion ISD,March 16-20,,,http://www.marionisd.net/
Marshall ISD,March 16-20,,,https://www.marshallisd.com/news/district_news/district_closed
Martinsville ISD,March 16-20,,,http://www.martinsvilleisd.com/
Mason  ISD,March 16-20,,,http://www.masonisd.net
Matagorda ISD,March 16-20,Pending,,
May ISD,March 16-20,,,http://www.mayisd.com
McAllen ISD,Spring Break March 16-20        March 23- April 3,Curbside Meal Pickup (Breakfast & Lunch) and Meals on Wheels Non Congregate Feeding Sites ,"Start Date: 3/16
When: Breakfast & Lunch 11:30 AM – 12:30 PM
Where: All District School Campuses & the following Meals on Wheels Non-Congregate Feeding Site Locations: El Campito Area, Memorial Apartments (501 E. Jasmine), Balboa Area (23rd St. & El Rancho Rd.), Idela Area (29th & Idela), Palm View Library (3401 Jordan Rd.), Boys & Girls Club of McAllen (2620 Galveston Ave.) Crossings Apartments (W. Dove & Main St.), 6th Street Milam Area (3712 N. 6th street),  The Landing on 6th Apartments (4401 N. 6th St.) Garden Inn Suites (3011 US - 83 BUS) Apartment Complex Area (N. 7th. & Robin Ave.)
 Details: MEALS: Students who attend school will follow the regular meal process for breakfast, lunch, and snacks. For students who do not attend school, meals will be provided meals in two ways – through a new Grab and Go System and through an expansion of our established MEALS ON WHEELS PROGRAM. GRAB & GO: If parents wish, they may come to their child’s campus each school day between 11:30 a.m. and 12:30 p.m. to pick up a sack meal for their child. The sacks will contain lunch for that day, plus a breakfast for the following day. MEALS ON WHEELS: McAllen is activating its Meals on Wheels program at 10 sites. School buses will distribute meals from the list of sites above. Our buses will give any child, aged 1-18, a lunch, plus a breakfast for the following day.
",https://www.mcallenisd.org/apps/pages/coronavirus
McCamey ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/18
When: Breakfast 9:00 AM – 10:00 AM ; Lunch 11:00 AM – 12:30 PM 
Where: McCamey Primary Driveway
 Details: Meals will be available for children ages 1-18. Please bring all children requesting a meal. Child must be present to pick up the meal. Meals will only be provided for the children that are present.
",http://www.mcisd.esc18.net
McDade ISD,March 16-April 5,,,https://www.smithvilleisd.org/apps/pages/index.jsp?uREC_ID=186536&type=d&pREC_ID=1844358
McGregor ISD,March 16-27,,,
McKinney ISD,March 16- April 3,Curbside Meal Pickup (Breakfast & Lunch),"***Students will receive that day's lunch adn next day's breakfast***
Start Date: 3/17
When: Breakfast 7:30 AM – 8:30 AM ; Lunch 11:00 AM – 12:30 PM
Where: Webb, Finch, McNeil, Slaughter, Vega Elementary and Malvern Elementary
Details: Meals will be handed out in the front driveways of these schools. Free for any MISD student. 
",https://www.mckinneyisd.net/health-services-wellness/coronavirus-covid-19/
McLeod ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/17
When: Breakfast 7:30 AM – 9:30 AM ; Lunch 11:00 AM – 1:00 PM
Where: Not Specified
Details:. If you wish to pick up a meal, drive around to the cafeteria to give student information and pick up student meals. After offering on Tuesday, we will determine whether to offer this service on other week days. 
",http://www.mcleodisd.net/sites/mcleodisd.net/files/schoolclosuremarch1620.pdf
Meadowland Charter Districts,March 16-20,,,https://meadowlanddistrict.org/
Medina ISD,March 16-20,,,https://www.medinaisd.org/29830_1
Medina Valley ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
When: Breakfast 7:30 AM – 8:30 AM ; Lunch 11:00 AM – 12:30 PM
Where: MVHS (Main Entrance Drop Off), LaCoste ES (Bus Drop Off Area), Luckey Ranch ES (Bus Drop Off Area), Potranco ES (Main Entrance Drop Off)
Details:. 
Children 18 years and younger may pick up meals at any of these sites. Individuals will not be allowed inside the schools.
",https://www.mvisd.com/site/default.aspx?PageType=3&DomainID=2888&ModuleInstanceID=9305&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=19542&PageID=5793
Melissa ISD,March 16-20,,,
Menard ISD,March 16-20,Meal Pickup (Lunch Only),"Start Date: 3/18
When: Lunch 11:30 AM – 12:30 PM
Where: Elementary and Junior High
Details:. Free meal pick up for MISD students every weekday. Call 325-597-8158 by 10:00am to order Lunch. 
",http://www.menardisd.net
Merkel ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/18
When: Breakfast 7:45 AM – 8:30 AM ; Lunch 11:30 AM – 12:30 PM
Where: Elementary Building
Details:. You will drive through the drop off lanes (in front of elementary), and request meals for any child 18 or younger. It is important to note that all meals will be FREE to ANY child, whether they are enrolled at MISD or not. (Child must be present to receive a meal). 
",https://www.merkelisd.net
Mesquite ISD,March 16 - April 3,"Curbside Meal Pickup
(Breakfast & Lunch)","Start Date: 3/16
When: 10:00 AM - Noon
Where: All Mesquite ISD High Schools
Details: Mesquite ISD will provide FREE curbside meals to all Mesquite ISD students while schools are closed. Lunch, as well as bagged breakfast items, may be picked up between 10 a.m. and noon for any student 18 years or younger.
Meals will be available via drive-up and walk-up service at all Mesquite ISD high schools (MHS, NMHS, PHS, WMHS and JHHS). The student must be present at the time of pick-up to receive a meal. Those in vehicles should remain in their vehicle to limit interaction with the MISD staff and others. Rest assured that Mesquite ISD will conduct a health screening of all those preparing and serving meals.",https://www.mesquiteisd.org/community/coronavirus-information-and-updates?fbclid=IwAR3kabQDu3cszVCs_srBkSx32vkvZra3g6ZgdyxobMi0wcTvPaMLczCBSGo
Mexia ISD,March 16-27,Curbside Meal Pickup (Lunch Only),"Start Date: 3/18
When: Lunch 11:00 AM – 1:00 PM 
Where: R.Q. Sims Intermediate Canopy Line
Details:. Meals will be available for all students
",https://www.mexiaisd.net/article/210925?org=mexia-independent-school-district
Midland ISD,March 16-27,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16                                                                                                                                                                                                                                                                       When: Breakfast 7:30 AM – 8:30 AM ; Lunch 11:30 AM – 12:30 PM
Where: Elementary Schools: Bonham, Bowie, Bunche, Bush, DeZavala, Fannin, Franks ,Greathouse, Henderson, Lamar, Long, Milam, Parker, Pease, Rusk, Santa Rita, Scharbauer, South, Travis, Yarbrough 
Secondary Schools: San Jacinto, Goddard, Midland High. 
South Interstate 20 Mobile Sites: Cotton Flat Baptist Church, Valley View Baptist Church, Twin Oaks Mobile Home Park, Airline Mobile Home Park.
Details: Any child 18 or younger is eligible. You do not need to be an MISD student, or live in Midland.  You do not have to be on free or reduced lunch to receive a meal. Meals are also available to people over 18 who are part of school programs due to a disability. You may pick up a meal from any location. You do not need to go to your home campus.  Meals are grab-and-go. Please walk or drive up to the location. For weekend meals, visit: https://www.midlandisd.net/Page/33484. If unable to get to a meal site, please go here: https://docs.google.com/forms/d/e/1FAIpQLSdPoKHWPj70AXfkYW11y_XH0SIzB9FDv_NFpygp75-6t4eAtg/viewform
",http://www.midlandisd.net
Midway ISD,March 16-27,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
When: Breakfast 8:00 AM – 9:00 AM ; Lunch 11:00 AM – 12:00 PM
Where: Castleman Creek Elementary, Hewitt Elementary, Speegleville Elementary
Details: USDA requires children to be present when picking up the food to prove the number of children you have (for at least the first day). Campuses will be the main contact for families in at-risk situations. Let us know if you are in need of food assistance; calls and messages will be routed to the appropriate personnel. Pick up locations will serve all children, ages zero to 18, regardless of enrollment or economic status.
",https://www.midwayisd.org/coronavirus
Milano ISD,March 16-20,,,http://www.mumford.k12.tx.us/
Miles ISD,March 16-20,,,http://www.milesisd.net
Miller Grove ISD,March 16-20,Mobile Delievery & Grav and Go ,"Start Date: 3/16
When: Breakfast & Lunch 9:30 AM – 11:00 AM 
Where: Elementary Parking lot by the Cafeteria OR Delivered by Bus
Details: MGISD wants to do what we can to make sure that our students are getting breakfast and lunch during the week. We are offering this service to ALL students in the Miller Grove District. 
For bus route students: 
Your bus will be delivering breakfast and a sack lunch between 9:30 and 11 a.m. The driver will have a form to get your name, number of students, address etc. 
For non-bus route students: 
You can pick up the same meal behind the cafeteria between 9:30 and 11:00 a.m. 
We will be compiling a list of total lunches so we know how many to make each day. Please complete this survey to provide us with the information we need to prepare enough food. https://docs.google.com/forms/d/e/1FAIpQLSePMEd2zzSh0Iz9X9JQhCb1B7NEZUSSaJpFZagnCDKybF9lVw/viewform
",https://www.mgisd.net/2020/03/press-release-mgisd-will-be-providing-meals-during-extended-break-for-mgisd-students/
Mineola ISD,March 16-20,,,http://www.mineolaisd.net/
Montgomery ISD,March 12-13,None,,
Moody ISD,March 16-20,,,
Mount Enterprise ISD,March 16-20,,,http://www.meisd.org/
Mumford ISD,March 16-20,,,http://www.mumford.k12.tx.us/
Nacogdoches ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
When: Breakfast & Lunch 10:30 AM – 12:00 PM 
Where: Brooks-Quinn-Jones Elementary, Fredonia Elementary, Emeline Carpenter Elementary and at the NISD Central Kitchen 
Details: Students age 18 and under must be present to receive the meals.
",http://www.nacisd.org/news/what_s_new/n_i_s_d_offering_students_free_lunches
